Wall time,Step,Value
1772343698.0980392,230,3.928511381149292
1772343729.9761553,231,3.9336657524108887
1772343761.1915965,232,3.5373291969299316
1772343792.5527606,233,3.795635461807251
1772343821.638326,234,3.667882204055786
1772343852.6355147,235,3.694246768951416
1772343883.9432266,236,4.37824821472168
1772343914.0870569,237,4.1124267578125
1772343944.2415042,238,4.319389343261719
1772343974.3142838,239,3.995811700820923
1772344004.3707743,240,3.9228713512420654
1772344035.5374963,241,3.774340867996216
1772344065.5990775,242,4.188783645629883
1772344095.52986,243,4.0339813232421875
1772344125.5573716,244,4.033583164215088
1772344155.582811,245,4.163557529449463
1772344185.485167,246,3.7499027252197266
1772344215.6049051,247,3.915754556655884
1772344246.0973103,248,3.7961678504943848
1772344276.3142226,249,4.080013751983643
1772344306.14353,250,3.7700798511505127
1772344337.738166,251,3.7481775283813477
1772344367.506294,252,3.9627575874328613
1772344397.5716927,253,4.123589515686035
1772344427.782986,254,4.043349742889404
1772344457.9470859,255,4.0714263916015625
1772344488.1613688,256,4.016720294952393
1772344518.4917023,257,3.6823644638061523
1772344549.3462934,258,4.392105579376221
1772344578.9404867,259,3.6885852813720703
1772344608.777706,260,3.8943209648132324
1772344639.2705371,261,3.8408966064453125
1772344668.80641,262,4.089199542999268
1772344698.1489449,263,3.9299652576446533
1772344727.0370765,264,4.139084815979004
1772344754.542373,265,4.606975078582764
1772344782.1027496,266,4.2174553871154785
1772344809.6730926,267,4.283679008483887
1772344837.2338512,268,4.458844184875488
1772344864.7615125,269,4.195671558380127
1772344892.304526,270,3.834763288497925
1772344920.210809,271,3.9513607025146484
1772344949.0780256,272,4.213910102844238
1772344981.183963,273,4.365809440612793
1772345013.2800784,274,4.18428373336792
1772345045.1176398,275,4.442185878753662
1772345077.0170703,276,3.7926201820373535
1772345108.7818193,277,4.02238130569458
1772345140.0676463,278,3.9877712726593018
1772345171.5618834,279,4.118128776550293
1772345201.1891456,280,4.041924476623535
1772345229.8891306,281,3.9483232498168945
1772345260.9953315,282,4.267822742462158
1772345294.8566685,283,4.384872913360596
1772345327.3260467,284,4.236166477203369
1772345359.8303812,285,4.266202926635742
1772345392.3893428,286,3.9796979427337646
1772345424.9170604,287,4.046224594116211
1772345457.482929,288,3.9755489826202393
1772345489.7750795,289,4.368282318115234
1772345522.1363635,290,4.1448564529418945
1772345555.4169576,291,4.297150135040283
1772345585.3658476,292,4.156822204589844
1772345617.3491938,293,4.564693450927734
1772345648.4556632,294,4.842377662658691
1772345679.755453,295,4.606374263763428
1772345710.8656125,296,4.1237592697143555
1772345742.357203,297,4.435840606689453
1772345773.7703476,298,4.365654468536377
1772345804.9743855,299,4.398833274841309
1772345835.652219,300,4.442781925201416
1772345868.5115602,301,4.502228260040283
1772345899.0234144,302,4.222654342651367
1772345930.3424964,303,4.638495922088623
1772345961.560752,304,4.518555641174316
1772345991.9574258,305,4.338398456573486
1772346022.3154075,306,4.35768461227417
1772346052.838645,307,4.544158458709717
1772346083.5435026,308,4.349799633026123
1772346114.0042,309,3.7349817752838135
1772346144.446568,310,4.395774841308594
1772346176.1285977,311,4.540989875793457
1772346206.6650448,312,4.3395094871521
1772346237.264505,313,4.184159278869629
1772346267.8692365,314,4.10213565826416
1772346298.8282678,315,4.3846755027771
1772346329.443263,316,4.50266170501709
1772346360.2865062,317,4.758477687835693
1772346391.3073301,318,4.598961353302002
1772346422.4129052,319,4.331686496734619
1772346453.4767032,320,4.883535861968994
1772346484.947567,321,4.43356990814209
1772346516.0918965,322,4.88266134262085
1772346547.3600285,323,4.655640125274658
1772346579.7766128,324,4.929838180541992
1772346610.9709404,325,4.495656490325928
1772346641.500964,326,4.532007694244385
1772346672.2410116,327,4.4712629318237305
1772346702.9846652,328,4.538937091827393
1772346733.296538,329,3.976069450378418
1772346763.643807,330,4.328672885894775
1772346795.7502537,331,4.402386665344238
1772346826.3638332,332,4.422287940979004
1772346856.713731,333,4.7860212326049805
1772346887.5728445,334,4.711006164550781
1772346918.29943,335,4.643091201782227
1772346949.2488344,336,4.434879779815674
1772346979.4537013,337,4.144912242889404
1772347009.7589371,338,4.825697898864746
1772347040.4751527,339,4.426219940185547
1772347069.8013434,340,4.424591064453125
1772347102.2553108,341,4.268765926361084
1772347134.8769064,342,4.792216777801514
1772347166.9111547,343,4.4172234535217285
1772347199.5552838,344,4.337307453155518
1772347231.7355962,345,4.315022945404053
1772347263.9186711,346,4.288223743438721
1772347296.0355814,347,4.7754926681518555
1772347328.2758422,348,4.783496379852295
1772347360.5709393,349,4.5459699630737305
1772347392.6944804,350,4.697558403015137
1772347425.6548672,351,5.224365234375
1772347455.6901867,352,4.56761360168457
1772347486.9803164,353,4.164261817932129
1772347518.0449648,354,4.615884780883789
1772347550.5649736,355,4.963314056396484
1772347582.637529,356,4.9914727210998535
1772347614.2187185,357,4.949487209320068
1772347646.0799859,358,4.7298150062561035
1772347678.1933978,359,4.336989402770996
1772347710.3129413,360,4.69223165512085
1772347742.73799,361,4.924586772918701
1772347774.7913964,362,4.82421350479126
1772347806.0380175,363,4.881278991699219
1772347837.483975,364,4.950924396514893
1772347868.3953087,365,4.885462760925293
1772347899.2199678,366,4.870438098907471
1772347930.2697728,367,4.820746898651123
