Wall time,Step,Value
1772336742.5750175,1,2.420590400695801
1772336774.4078221,2,2.7079105377197266
1772336802.968576,3,2.679292678833008
1772336831.8470035,4,2.4373228549957275
1772336860.401812,5,2.358773708343506
1772336888.9442139,6,2.9812793731689453
1772336918.0886579,7,3.2881529331207275
1772336951.9781208,8,3.3448331356048584
1772336986.6772692,9,3.261751651763916
1772337019.3872912,10,3.0933592319488525
1772337052.316772,11,3.0152862071990967
1772337084.4264104,12,3.2369754314422607
1772337113.7450595,13,3.251899480819702
1772337142.2180073,14,3.1927382946014404
1772337171.09441,15,3.152438163757324
1772337199.8145201,16,3.285633087158203
1772337228.5410743,17,3.181901216506958
1772337257.2082014,18,3.1702182292938232
1772337285.812897,19,3.1761865615844727
1772337314.6471395,20,3.202193021774292
1772337346.772529,21,3.17232346534729
1772337380.036736,22,2.9789323806762695
1772337410.9754517,23,3.096033811569214
1772337443.6293597,24,2.957749366760254
1772337475.4322627,25,3.1119041442871094
1772337507.2978718,26,3.0546000003814697
1772337538.375583,27,3.118337392807007
1772337571.0445573,28,3.099390983581543
1772337601.9533675,29,3.1492502689361572
1772337633.176432,30,3.1387245655059814
1772337665.0794728,31,3.0242183208465576
1772337696.9879045,32,3.098355531692505
1772337728.2542684,33,3.125434160232544
1772337759.4153247,34,3.1463327407836914
1772337790.5818348,35,3.135652542114258
1772337821.9228535,36,3.0975728034973145
1772337853.9228523,37,3.0004611015319824
1772337885.147563,38,2.94089674949646
1772337916.7237954,39,3.1018476486206055
1772337948.1115873,40,3.1408557891845703
1772337980.8965209,41,3.0431580543518066
1772338012.187926,42,2.9759914875030518
1772338043.5415792,43,3.1070473194122314
1772338074.8597476,44,2.9421942234039307
1772338104.900379,45,2.958829879760742
1772338135.8426406,46,3.016101121902466
1772338167.2514584,47,2.9720118045806885
1772338198.8693717,48,2.956622362136841
1772338231.4007528,49,2.990804672241211
1772338264.2426903,50,2.9642200469970703
1772338299.0418928,51,3.0534093379974365
1772338332.5865023,52,2.965108871459961
1772338365.3960202,53,3.041475534439087
1772338398.1122763,54,3.0555245876312256
1772338431.2358153,55,2.999943494796753
1772338462.342136,56,2.947403907775879
1772338492.8200862,57,3.010209321975708
